# 390x844  narrow=True  dt=1/60s  grid=360ang x 37pow = 13320 putts/round
# capture<520  MAX_SPEED=900  FRICTION=0.12  CUP_R=13  reachSafety=0.9 downhillCredit=None undul=1.0 tilt=1.0
rnd   dist  tilt  mag sunk?  hits bestP tolDeg minMiss hotPass maxReach  upAcc  aReach
 78    120    65 1.18   YES   647 0.200   65.0     2.5    True      269 -201.5     469
 79    134   243 0.89   YES   346 0.375   13.0     4.5    True      248  -26.9     430
 80    132   353 0.97   YES   384 0.450   43.0     4.7    True      279   52.9     382
 81    131   135 0.77   YES   276 0.450   18.0     4.6    True      275   80.8     367
 82    161   211 0.89   YES   179 0.575    9.0     4.8    True      254   88.4     363
 83    167   220 0.66   YES   514 0.325   50.0     5.4    True      319  -93.1     445
 84    118    90 0.62   YES   953 0.500   27.0     2.8    True      290   -0.1     424
 85    175    66 0.96   YES   122 0.825    9.0     6.4   False      290  222.1     313
 86    109    38 1.15   YES  1201 0.125   98.0     2.9    True      329 -232.5     476
 87    172   298 0.79   YES   534 0.100   45.0     2.9    True      337 -231.0     476
 88    139    97 1.35   YES  2008 0.100  118.0     4.2    True      305 -176.4     464
 89    161    39 0.81   YES   163 0.600    9.0     5.3    True      312  107.0     355
 90    122    54 0.64   YES   289 0.600   12.0     4.0    True      264   26.3     399
 91    172   358 0.67   YES   173 0.525    9.0     5.4    True      338   48.4     385
 92    120   177 1.14   YES   616 0.400   39.0     4.5    True      234   31.9     395
 93    141    20 1.20   YES   373 0.450   25.0     4.3    True      270   38.4     391
 94    125   240 1.05   YES   482 0.875   28.0     4.6    True      185  141.5     340
 95    120   317 1.06   YES   232 0.700   12.0     4.0    True      255  181.8     326
 96    117    72 1.29   YES   428 0.450   23.0     3.0    True      208   73.2     371
 97    157   174 1.18   YES   316 0.525   21.0     5.1    True      223   55.3     381
 98    171    81 0.82   YES   951 0.350   55.0     6.2    True      301  -47.5     435
 99    123    38 1.21   YES  1930 0.200   61.0     3.5    True      255 -158.8     460
100    120   221 1.13   YES   263 0.425   16.0     4.1    True      267  135.3     343
101    136   161 1.09   YES   263 0.625   16.0     2.8    True      285  113.0     352
102    144   253 1.26   YES  1520 0.275  105.0     4.0    True      307 -170.7     462
103    113   253 0.66   YES   853 0.150   84.0     3.3    True      275 -114.1     450
104    138   325 0.85   YES   377 0.500   33.0     4.5    True      249  109.7     353
105    117   184 1.13   YES   246 0.750   13.0     4.5    True      228  180.1     326
106    145   316 0.85   YES   716 0.225   99.0     4.1    True      285 -125.7     452
107    114   137 0.73   YES   409 0.150   16.0     2.9    True      277 -184.0     465
108    141   134 0.87   YES   481 0.450   17.0     5.1    True      237   60.6     378
109    178   337 0.84   YES   259 0.450   18.0     6.1    True      311    5.2     418
110    114    85 0.62   YES   428 0.325   38.0     3.2    True      256  -92.0     445
111    164   280 1.05   YES   509 0.300   65.0     5.5    True      343 -138.2     455
112    121   206 1.31   YES   409 0.100   14.0     3.6    True      322 -302.5     492
113    137    84 0.90   YES   188 0.700   10.0     4.2    True      264  178.4     327
114    148   331 0.96   YES  2173 0.100  211.0     4.3    True      298 -170.3     462
115    162    24 0.92   YES   284 0.450   16.0     6.3    True      345  -30.0     431
116    193   350 1.14   YES  1617 0.325   74.0     6.3    True      335 -148.5     458
117    135    20 1.22   YES   360 0.400   35.0     3.9    True      296    1.3     422
118    134   283 0.71   YES   310 0.375   26.0     3.4    True      318  -26.0     430
119    124   254 1.00   YES   492 0.350   51.0     4.3    True      294 -111.7     449
120    142    55 1.01   YES   543 0.175   29.0     3.6    True      338 -189.8     467
121    158     2 1.10   YES   440 0.600   42.0     4.7    True      293   83.9     365
122    141    53 1.15   YES   377 0.450   24.0     4.8    True      225   20.7     404
123    164   318 1.20   YES   287 0.500   26.0     4.6    True      239   14.9     408
124    116   265 1.11   YES   574 0.550   30.0     4.0    True      256  167.8     331
125    143    71 1.28   YES   441 0.125   14.0     2.4    True      294 -185.6     466
