# 1440x900  narrow=False  dt=1/60s  grid=360ang x 37pow = 13320 putts/round
# capture<520  MAX_SPEED=900  FRICTION=0.12  CUP_R=13  reachSafety=0.9 downhillCredit=None undul=6.0 tilt=1.0
rnd   dist  tilt  mag sunk?  hits bestP tolDeg minMiss hotPass maxReach  upAcc  aReach
  0    111     0 0.85   YES   798 0.150   93.0     2.0    True      500 -250.4     480
  1    354   285 1.33   YES    74 0.675    8.0     9.2   False      436  -51.6     436
  2    311   334 1.11   YES     2 1.000    2.0    12.4   False      464  129.0     345
  3    261    22 0.64   YES   374 0.375   36.0     6.4   False      478 -218.4     473
  4    257   318 0.67   YES     5 1.000    5.0    11.7   False      380  487.2     252
  5    261    39 0.62   YES   104 0.950   16.0     9.8   False      409  152.4     336
  6    312   332 0.77   YES   155 0.850   22.0     9.3   False      557  -92.2     445
  7    280   347 1.16   YES    15 1.000    9.0    11.6   False      346  227.9     311
  8    303    64 0.80   YES    18 1.000    6.0    11.0   False      500  150.8     337
  9    276   202 1.10   YES   232 0.600   28.0     6.3   False      464 -224.0     474
 10    283   158 0.68   YES   113 0.750   16.0     8.5   False      571 -150.7     458
 11    401   345 0.91   YES    11 0.975    3.0    12.0   False      566  -99.2     447
 12    343    56 0.60   YES     1 1.000    1.0    11.6   False      480   57.2     379
 13    289    20 1.16   YES    60 0.975   12.0    10.5   False      366  148.2     338
 14    383    99 0.77   YES     9 1.000    6.0    12.1   False      451   -5.7     426
 15    276   195 1.26   YES   133 0.725   23.0     8.0   False      517  -59.6     438
 16    318    68 0.68   YES    16 0.925    4.0    11.1   False      497   79.1     368
 17    257   178 0.72   YES   136 0.850   11.0     7.7   False      352 -142.2     456
 18    270   245 1.17   YES    70 0.800    5.0     9.0   False      424  -66.6     439
 19    299   214 0.76   YES    92 0.900   16.0     9.8   False      539   46.4     386
 20    347   354 0.64   YES    50 0.875    6.0     9.8   False      567   38.9     391
 21    265   217 1.31   YES   339 0.400   27.0     7.6   False      475 -157.1     459
 22    294   203 0.63   YES    12 0.850    2.0    10.7   False      562  151.8     336
 23    347   194 1.27   YES    37 0.700    3.0     9.1   False      470 -157.6     460
 24    361   133 1.09   YES   235 0.875   30.0    10.7   False      561  -66.1     439
 25    331   270 1.21   YES    19 0.900    3.0    10.9   False      461   44.8     387
 26    341    65 0.94   YES     9 1.000    9.0    11.7   False      453   58.2     379
 27    258   124 1.34   YES    53 0.950   10.0    11.1   False      431  317.5     287
 28    297   242 1.01   YES    49 0.850   13.0     9.5   False      446   96.7     359
 29    279   275 1.19   YES    79 0.775   11.0     9.1   False      468  -51.4     436
 30    295   264 1.31   YES    22 0.975    4.0    10.3   False      575  174.1     328
 31    257   199 1.19   YES     9 0.975    4.0    11.2   False      432  397.1     269
 32    268   191 0.99   YES    36 0.975   16.0    10.2   False      478  274.4     298
 33    343   164 0.79   YES    32 0.950    8.0    10.6   False      440   47.9     385
 34    306   159 1.04   YES    51 0.800    4.0     9.2   False      450 -149.2     458
 35    260   343 1.24   YES    58 0.825    7.0     8.8   False      446  104.8     356
 36    327   301 0.66   YES    15 1.000    5.0    11.8   False      494   53.3     382
 37    338   264 0.83   YES    22 1.000   11.0    10.6   False      447   28.1     398
 38    303    54 1.25   YES    17 0.925    4.0    11.3   False      533  129.7     345
 39    259   291 0.97   YES   184 0.425   14.0     7.7   False      544  -80.5     442
 40    271   216 0.65   YES    28 0.900    4.0     9.6   False      574   91.0     362
 41    308   160 0.98   YES    17 1.000    5.0    11.0   False      554   88.0     363
 42    300   169 1.21   YES    24 0.900    3.0    10.5   False      589  -12.4     427
 43    269   179 1.21   YES    67 0.950   28.0    10.1   False      372  237.2     308
 44    377   209 0.68    no     0     -    0.0    14.9   False      443  -27.9     431
 45    293    71 1.27   YES    58 0.825    7.0     9.8   False      464   76.4     369
 46    259   179 1.18   YES    89 0.725    8.0     7.9   False      461   26.2     399
 47    290   259 0.74   YES    50 0.925   20.0    10.4   False      489  192.4     322
 48    282   100 0.84   YES    51 0.850   10.0    10.1   False      469  217.2     314
 49    322    15 1.16   YES    16 0.975    6.0    11.3   False      501   46.4     386
 50    398   188 0.80   YES    48 1.000   18.0     9.8   False      542  -98.9     446
 51    340   177 1.10   YES    16 0.925    3.0    10.8   False      506  -17.7     428
 52    282    97 0.63   YES    59 0.925   11.0    10.2   False      401   88.4     363
 53    394    20 0.81   YES    60 0.975   12.0    10.8   False      483  -65.6     439
 54    368   195 0.63   YES     5 1.000    5.0    11.9   False      471   -4.8     426
 55    313    59 1.15   YES    66 0.900   21.0    10.9   False      371  122.9     348
 56    282   338 0.78   YES    42 0.875    6.0     9.1   False      426   41.4     389
 57    368    66 1.33   YES     4 0.975    2.0    11.7   False      368   11.6     411
 58    299   190 1.14   YES    19 0.925    4.0    10.7   False      508   69.9     373
 59    332   278 1.35   YES    44 0.925    5.0    10.2   False      562  -26.6     430
 60    297    23 0.77   YES   116 0.825   16.0     8.8   False      403  -54.5     437
 61    334    20 0.98   YES    97 0.950   21.0    10.4   False      380   13.5     410
 62    282   343 1.33   YES   196 0.775   23.0     9.0   False      480   57.1     380
 63    264     3 0.62   YES    47 0.975   14.0     9.7   False      312  230.0     310
 64    330   218 1.21   YES    38 0.875    7.0    10.8   False      472   70.4     372
 65    262    60 0.73   YES    46 0.950    5.0     8.9   False      545   78.4     368
 66    257   116 1.22   YES    18 0.950    5.0    10.0   False      310  372.2     274
 67    288    57 1.30   YES   435 0.475   39.0     9.2   False      526 -193.9     468
 68    346   200 0.71   YES     9 1.000    4.0    12.3   False      431   47.7     385
 69    317   180 1.33   YES    21 0.975    3.0     9.2   False      568  -23.4     430
 70    337   291 0.71   YES   193 0.750   16.0     9.7   False      487  -99.7     447
 71    331   105 0.90   YES   319 0.750   38.0     9.4   False      580 -139.4     455
 72    261   349 0.79   YES   113 0.775    7.0     8.4   False      418  -94.2     445
 73    291   192 1.32   YES    23 0.925    6.0    10.1   False      461  189.9     323
 74    291   136 0.61   YES    23 0.950    5.0    10.0   False      426   83.5     366
 75    288   146 0.84   YES    26 0.925    3.0     8.3   False      652   -1.4     425
 76    308    10 0.65   YES    43 0.975    4.0     8.2   False      473 -111.1     449
 77    271    64 1.12   YES   152 0.800   15.0     7.3   False      512 -101.0     447
 78    312    65 1.18   YES   208 0.375   19.0     7.9   False      613 -217.5     473
 79    327   243 0.89   YES    44 0.975   11.0    11.0   False      396   -3.5     425
