# 1440x900  narrow=False  dt=1/60s  grid=360ang x 37pow = 13320 putts/round
# capture<520  MAX_SPEED=900  FRICTION=0.12  CUP_R=13  reachSafety=0.9 downhillCredit=None undul=2.0 tilt=1.5
rnd   dist  tilt  mag sunk?  hits bestP tolDeg minMiss hotPass maxReach  upAcc  aReach
  0    111     0 1.27   YES   673 0.275   53.0     3.8    True      448  -69.8     440
  1    354   285 2.00   YES   120 0.675   24.0     9.8   False      491  -69.1     440
  2    322   334 1.66   YES    46 0.900   14.0    10.5   False      486    4.6     418
  3    261    22 0.95   YES   275 0.400   33.0     8.4   False      497 -107.8     448
  4    292   318 1.01   YES    36 0.950   10.0    10.9   False      432  184.5     325
  5    261    39 0.92   YES   120 0.975   15.0     9.5   False      419  103.6     356
  6    312   332 1.16   YES   126 0.700   11.0     8.2   False      568  -89.3     444
  7    303   347 1.73   YES    24 1.000   10.0    11.0   False      375  150.5     337
  8    321    64 1.20   YES    24 0.975    7.0    11.1   False      435  101.9     357
  9    276   202 1.66   YES   372 0.375   30.0     7.3   False      652 -169.6     462
 10    283   158 1.02   YES   134 0.600   22.0     7.9   False      571 -109.1     449
 11    391   345 1.37   YES    40 0.950   14.0    11.9   False      552  -49.1     435
 12    336    56 0.91   YES    32 0.950   14.0    11.3   False      442   68.1     373
 13    305    20 1.74   YES    39 1.000   10.0    10.2   False      356  133.0     344
 14    393    99 1.16   YES    59 0.950   12.0    11.5   False      476  -57.2     437
 15    276   195 1.89   YES   185 0.650   33.0     7.9   False      706  -86.1     444
 16    337    68 1.02   YES    21 0.950    7.0    10.9   False      528   60.8     377
 17    257   178 1.08   YES   208 1.000   12.0     8.8   False      364    5.9     417
 18    270   245 1.76   YES    89 0.875    6.0     9.1   False      483  -42.2     434
 19    299   214 1.14   YES   119 0.775   20.0     8.6   False      570  -27.9     431
 20    346   354 0.96   YES    87 0.825   12.0    10.7   False      474   48.0     385
 21    265   217 1.97   YES   469 0.200   24.0     7.8   False      689 -162.1     461
 22    294   203 0.95   YES    40 0.825    5.0    10.4   False      568   79.9     367
 23    347   194 1.91   YES    78 0.550    5.0    10.0   False      567 -128.2     453
 24    361   133 1.63   YES    58 0.950   16.0    10.9   False      503   15.1     408
 25    323   270 1.81   YES    23 0.975    5.0    11.0   False      418   83.2     366
 26    345    65 1.41   YES    54 0.900   13.0    10.4   False      557   -4.6     425
 27    284   124 2.01   YES    29 1.000    8.0    10.3   False      403  212.3     316
 28    348   242 1.52   YES    72 0.875   17.0    10.6   False      477   44.8     387
 29    279   275 1.78   YES    51 0.950    6.0     9.3   False      564   38.4     391
 30    303   264 1.97   YES    21 0.925    4.0    10.9   False      542  151.9     336
 31    280   199 1.79   YES    23 0.975    6.0    10.9   False      458  226.1     312
 32    297   191 1.48   YES    27 0.975    8.0    10.9   False      400  168.5     330
 33    334   164 1.18   YES    27 0.950    7.0    11.0   False      402   72.3     371
 34    306   159 1.57   YES    92 0.675    5.0     8.0   False      624 -109.0     449
 35    260   343 1.86   YES   147 0.750   16.0     8.8   False      543   62.7     376
 36    353   301 0.99   YES    19 0.975    6.0    11.3   False      481   29.1     397
 37    340   264 1.24   YES    26 0.925    7.0    11.5   False      489   47.5     385
 38    303    54 1.87   YES    80 0.750   10.0     9.1   False      568   -9.8     427
 39    259   291 1.46   YES   519 0.250   65.0     7.6   False      550 -109.5     449
 40    271   216 0.97   YES    47 0.850    5.0     9.2   False      436   76.6     369
 41    308   160 1.48   YES    60 0.850    6.0    10.0   False      656  -41.0     434
 42    300   169 1.81   YES    39 0.825    4.0    11.1   False      451   87.8     363
 43    269   179 1.82   YES   106 0.850   24.0     8.6   False      516  104.7     356
 44    340   209 1.01   YES    28 1.000   11.0    11.1   False      415   59.5     378
