# 1440x900  narrow=False  dt=1/60s  grid=360ang x 37pow = 13320 putts/round
# capture<520  MAX_SPEED=900  FRICTION=0.12  CUP_R=13  reachSafety=0.9 downhillCredit=None undul=3.0 tilt=1.0
rnd   dist  tilt  mag sunk?  hits bestP tolDeg minMiss hotPass maxReach  upAcc  aReach
  0    111     0 0.85   YES   651 0.175   42.0     4.0    True      477 -119.3     451
  1    354   285 1.33   YES   107 0.650   20.0    10.6   False      463  -48.0     435
  2    322   334 1.11   YES    27 0.950    9.0    11.4   False      472   44.9     387
  3    261    22 0.64   YES   319 0.400   32.0     6.8   False      474 -124.2     452
  4    273   318 0.67   YES    33 0.925    9.0    10.3   False      494  256.1     303
  5    261    39 0.62   YES   131 0.900   16.0     9.1   False      435   98.8     358
  6    312   332 0.77   YES   127 0.800   18.0     9.3   False      562  -71.2     440
  7    307   347 1.16   YES    19 1.000    9.0    11.7   False      372  139.3     341
  8    323    64 0.80   YES    19 0.975    6.0    11.4   False      499   96.5     359
  9    276   202 1.10   YES   264 0.500   28.0     8.1   False      477 -152.7     458
 10    283   158 0.68   YES   113 0.700   17.0     8.7   False      571 -100.6     447
 11    393   345 0.91   YES    26 0.925    9.0    11.8   False      560  -59.5     438
 12    349    56 0.60   YES    28 0.975   14.0    11.7   False      495   42.6     388
 13    310    20 1.16   YES    45 0.950   10.0    10.4   False      353  115.8     351
 14    387    99 0.77   YES    32 1.000   11.0    11.5   False      460  -26.6     430
 15    276   195 1.26   YES   154 0.675   33.0     9.1   False      610  -58.2     437
 16    336    68 0.68   YES    17 0.975    5.0    11.1   False      533   58.4     379
 17    257   178 0.72   YES   132 0.925   12.0     7.4   False      359  -48.3     435
 18    270   245 1.17   YES    80 0.925    6.0     9.2   False      446  -41.9     434
 19    299   214 0.76   YES   127 0.825   17.0     9.4   False      548    4.7     418
 20    347   354 0.64   YES    79 0.800    8.0     9.9   False      566   34.6     393
 21    265   217 1.31   YES   399 0.325   41.0     8.3   False      689 -125.6     452
 22    294   203 0.63   YES    31 0.900    4.0     9.7   False      570   88.4     363
 23    347   194 1.27   YES    52 0.975    5.0     9.2   False      491 -111.2     449
 24    361   133 1.09   YES   104 0.925   18.0    11.0   False      521  -17.1     428
 25    335   270 1.21   YES    24 0.900    5.0    11.0   False      465   54.7     381
 26    345    65 0.94   YES    36 0.950   14.0    11.1   False      569   18.8     405
 27    291   124 1.34   YES    36 0.975    9.0    10.8   False      441  187.6     324
 28    332   242 1.01   YES    58 0.850   15.0    10.1   False      462   74.9     370
 29    279   275 1.19   YES    71 0.775    8.0     9.2   False      485   -1.9     425
 30    311   264 1.31   YES    25 0.900    4.0    10.5   False      572  128.4     346
 31    275   199 1.19   YES    22 0.950    5.0    10.4   False      459  244.1     306
 32    300   191 0.99   YES    29 0.950    9.0    11.4   False      411  160.6     333
 33    343   164 0.79   YES    27 0.950    7.0    11.0   False      431   47.4     385
 34    306   159 1.04   YES    68 1.000    5.0     9.3   False      596 -100.0     447
 35    260   343 1.24   YES    69 0.775    7.0     8.6   False      480   64.3     376
 36    347   301 0.66   YES    15 1.000    5.0    11.6   False      478   34.8     393
 37    346   264 0.83   YES    28 0.950   10.0    11.5   False      458   30.9     396
 38    303    54 1.25   YES    41 0.825    6.0     9.9   False      532   42.1     389
 39    259   291 0.97   YES   182 0.350    8.0     8.3   False      548  -75.7     441
 40    271   216 0.65   YES    45 0.875    5.0     8.9   False      498   65.3     375
 41    308   160 0.98   YES    39 0.875    5.0    10.6   False      612   13.8     409
 42    300   169 1.21   YES    31 0.925    4.0     9.4   False      456   33.2     394
 43    269   179 1.21   YES    95 0.850   19.0    10.0   False      409  129.6     345
 44    369   209 0.68   YES     7 1.000    7.0    11.9   False      444   13.5     410
 45    293    71 1.27   YES    42 0.850    6.0    10.0   False      472   81.6     366
 46    259   179 1.18   YES   123 0.575    8.0     7.1   False      490  -30.9     431
 47    339   259 0.74   YES    41 0.925   19.0    11.2   False      470   59.2     378
 48    325   100 0.84   YES    50 0.800    7.0    10.7   False      508   92.8     361
 49    322    15 1.16   YES    23 1.000    7.0    10.9   False      482   54.9     381
 50    396   188 0.80   YES    76 0.900   17.0    10.6   False      727  -77.7     442
 51    340   177 1.10   YES    27 0.950    4.0    10.2   False      654  -39.4     433
 52    282    97 0.63   YES    75 0.850    9.0     9.4   False      400   48.0     385
 53    383    20 0.81   YES    29 1.000   10.0    11.6   False      476  -13.9     428
 54    362   195 0.63   YES    16 1.000    7.0    11.6   False      467    8.4     414
 55    321    59 1.15   YES    44 0.900   10.0    11.1   False      530   96.1     360
 56    282   338 0.78   YES    58 0.800    6.0     8.9   False      425   27.8     398
 57    375    66 1.33   YES     7 0.975    3.0    12.0   False      419    5.3     418
 58    299   190 1.14   YES    46 0.825    5.0     9.4   False      529   -6.4     426
 59    332   278 1.35   YES    90 0.800    8.0    10.5   False      563  -24.2     430
 60    297    23 0.77   YES   140 0.800   19.0     9.4   False      402   -2.8     425
 61    334    20 0.98   YES    60 0.925   14.0    11.3   False      379   27.6     398
 62    282   343 1.33   YES   133 0.800   16.0     9.8   False      415   72.1     371
 63    264     3 0.62   YES    65 0.900   10.0     8.8   False      454  137.8     342
 64    333   218 1.21   YES    34 0.925    8.0    11.1   False      407   71.1     372
 65    262    60 0.73   YES    70 0.775    5.0     8.6   False      553   12.0     411
 66    285   116 1.22   YES    22 0.950    5.0    10.1   False      547  209.6     317
 67    288    57 1.30   YES   317 0.550   44.0     8.9   False      527 -129.9     453
 68    376   200 0.71   YES    10 1.000    5.0    11.8   False      463    4.8     418
 69    317   180 1.33   YES    23 0.900    3.0    10.3   False      449   29.0     397
 70    337   291 0.71   YES   151 0.800   17.0    10.3   False      500  -64.9     439
 71    331   105 0.90   YES   163 0.850   21.0    10.0   False      503  -64.7     439
 72    261   349 0.79   YES   116 0.650    7.0     7.5   False      425  -38.6     433
 73    305   192 1.32   YES    27 0.900    8.0    11.1   False      469  119.0     349
 74    291   136 0.61   YES    50 0.800    5.0     9.6   False      572   20.3     404
 75    288   146 0.84   YES    46 0.850    4.0     9.3   False      597  -19.3     429
 76    308    10 0.65   YES    48 0.900    4.0     9.0   False      480  -67.5     439
 77    271    64 1.12   YES   148 0.750   14.0     8.3   False      508  -79.9     442
 78    312    65 1.18   YES   305 0.450   29.0     8.9   False      616 -137.0     455
 79    327   243 0.89   YES    21 0.975    5.0    10.3   False      396   -5.9     426
 80    282   353 0.97   YES   105 0.775   18.0     9.4   False      505   41.7     389
 81    288   135 0.77   YES    91 0.725    7.0     8.9   False      418   33.3     394
 82    384   211 0.89   YES    21 0.900    4.0    12.0   False      522  -12.4     427
 83    391   220 0.66   YES    70 0.875   23.0    11.2   False      494  -43.6     434
 84    271    90 0.62   YES   148 0.550   11.0     7.9   False      320  -83.9     443
 85    317    66 0.96   YES    22 0.925    5.0    10.9   False      475  112.7     352
 86    262    38 1.15   YES   305 0.575   26.0     7.1   False      655 -121.3     451
 87    410   298 0.79   YES   613 0.625   32.0    10.5   False      544 -200.8     469
 88    352    97 1.35   YES    40 0.850    6.0    10.5   False      551  -89.2     444
 89    359    39 0.81   YES    14 1.000    6.0    12.1   False      368   12.1     411
 90    313    54 0.64   YES    50 0.850    4.0     9.8   False      417  -59.5     438
 91    339   358 0.67   YES     9 0.975    3.0    11.1   False      439   62.3     377
 92    304   177 1.14   YES    77 0.725    7.0     9.4   False      444  -14.9     428
 93    315    20 1.20   YES    28 0.900    4.0     9.9   False      608   55.3     381
 94    306   240 1.05   YES    36 0.950    6.0    10.2   False      458   29.0     397
 95    312   317 1.06   YES    32 1.000    8.0    10.6   False      382  113.2     352
 96    261    72 1.29   YES   117 0.725   18.0     8.4   False      449  -68.9     440
 97    389   174 1.18   YES   509 0.825   37.0    10.6   False      476  -33.2     432
 98    351    81 0.82   YES    17 1.000    4.0    11.6   False      422   40.3     390
 99    330    38 1.21   YES    46 0.925    5.0     9.6   False      479  -92.2     445
100    280   221 1.13   YES    47 0.850    5.0     8.4   False      380   64.2     376

SOLVABLE 101/101 = 100.0%
aim tolerance on solvable rounds: min 3.0deg  median 8.0deg  max 44.0deg
