# 1440x900  narrow=False  dt=1/60s  grid=360ang x 37pow = 13320 putts/round
# capture<520  MAX_SPEED=900  FRICTION=0.12  CUP_R=13  reachSafety=0.9 downhillCredit=None undul=1.0 tilt=1.0
rnd   dist  tilt  mag sunk?  hits bestP tolDeg minMiss hotPass maxReach  upAcc  aReach
  0    111     0 0.85   YES   585 0.275   48.0     2.0    True      478  -32.0     432
  1    354   285 1.33   YES   138 0.650   28.0    10.2   False      489  -45.7     435
  2    322   334 1.11   YES    57 0.850   17.0     9.6   False      482   -5.3     426
  3    261    22 0.64   YES   131 0.525    7.0     7.9   False      472  -61.4     438
  4    320   318 0.67   YES    35 0.925    9.0    11.2   False      426   91.4     362
  5    261    39 0.62   YES   113 0.900   14.0     9.5   False      411   63.1     376
  6    312   332 0.77   YES    74 0.700    6.0     9.0   False      566  -57.2     437
  7    325   347 1.16   YES    27 1.000    9.0    11.2   False      392   92.2     361
  8    326    64 0.80   YES    31 0.950    8.0    11.2   False      425   61.5     377
  9    276   202 1.10   YES   371 0.350   29.0     7.8   False      633 -105.1     448
 10    283   158 0.68   YES   103 0.600    8.0     9.4   False      571  -67.2     439
 11    387   345 0.91   YES    36 0.925   13.0    11.9   False      541  -27.6     431
 12    351    56 0.60   YES    20 0.950    6.0    11.2   False      435   39.2     390
 13    326    20 1.16   YES    29 1.000    8.0    10.7   False      345   87.3     364
 14    390    99 0.77   YES    77 0.950   14.0    11.7   False      464  -39.6     433
 15    276   195 1.26   YES   181 0.600   41.0     9.4   False      637  -57.2     437
 16    351    68 0.68   YES    22 0.925    6.0    11.4   False      484   38.9     391
 17    257   178 0.72   YES   148 1.000    8.0     8.8   False      379   14.4     409
 18    270   245 1.17   YES    89 0.625    6.0     8.5   False      473  -25.4     430
 19    299   214 0.76   YES   108 0.750   22.0     9.2   False      564  -23.2     430
 20    347   354 0.64   YES    34 0.850    5.0    11.1   False      459   31.8     395
 21    265   217 1.31   YES   358 0.125   41.0     8.0   False      689 -104.5     448
 22    294   203 0.63   YES    50 0.800    6.0     9.8   False      544   46.2     386
 23    347   194 1.27   YES   103 0.500   16.0    10.1   False      562  -80.3     442
 24    361   133 1.09   YES    64 0.950   15.0    10.9   False      510   15.5     408
 25    338   270 1.21   YES    19 0.925    4.0    11.4   False      430   59.2     378
 26    345    65 0.94   YES    54 0.875   19.0    10.4   False      499   -7.4     426
 27    312   124 1.34   YES    25 0.975    6.0    10.5   False      397  123.9     347
 28    364   242 1.01   YES   106 0.875   20.0    11.4   False      480   19.8     404
 29    279   275 1.19   YES    57 0.750    5.0     8.9   False      456   31.1     396
 30    324   264 1.31   YES    19 0.925    4.0    11.1   False      456   94.3     360
 31    311   199 1.19   YES    25 0.950    6.0    11.0   False      453  129.0     345
 32    322   191 0.99   YES    22 0.975    7.0    11.4   False      398  100.0     358
 33    343   164 0.79   YES    27 0.950    7.0    11.3   False      414   47.1     385
 34    306   159 1.04   YES    92 0.550    5.0     9.0   False      597  -67.2     439
 35    260   343 1.24   YES   151 0.725   19.0     7.9   False      537   37.3     392
 36    364   301 0.66   YES    20 0.975    6.0    11.6   False      489   17.0     407
 37    352   264 0.83   YES    21 0.925    6.0    11.2   False      497   32.6     395
 38    303    54 1.25   YES    88 0.725   10.0     9.2   False      566  -16.3     428
 39    259   291 0.97   YES   436 0.225   60.0     9.1   False      550  -72.5     441
 40    271   216 0.65   YES    60 0.725    5.0     8.5   False      423   48.2     385
 41    308   160 0.98   YES    66 0.700    5.0     9.6   False      639  -35.6     432
 42    300   169 1.21   YES    48 0.825    5.0     9.3   False      444   63.6     376
 43    269   179 1.21   YES   121 0.775   17.0     9.0   False      516   57.8     379
 44    350   209 0.68   YES    26 0.975    8.0    11.0   False      400   40.9     389
 45    293    71 1.27   YES    41 0.975    6.0    10.5   False      474   85.1     365
 46    259   179 1.18   YES   232 0.350   11.0     8.2   False      608  -69.0     440
 47    367   259 0.74   YES    40 0.900   15.0    11.5   False      460   15.2     408
 48    355   100 0.84   YES    57 0.775    8.0    11.0   False      536    0.4     424
 49    322    15 1.16   YES    36 0.950    8.0    10.8   False      467   60.6     378
 50    394   188 0.80   YES   115 0.725   18.0    11.0   False      665  -64.0     439
 51    340   177 1.10   YES    61 0.700    5.0     9.8   False      635  -53.9     436
 52    282    97 0.63   YES    63 0.775    6.0     8.9   False      572   21.0     403
 53    356    20 0.81   YES    28 0.950    7.0    11.6   False      438   28.2     398
 54    359   195 0.63   YES    28 0.975    9.0    11.8   False      443   22.0     403
 55    321    59 1.15   YES    29 0.900    6.0    10.3   False      383   79.8     367
 56    282   338 0.78   YES    90 0.775   10.0     9.3   False      437   18.8     405
 57    375    66 1.33   YES    24 0.975    7.0    11.6   False      511   -1.1     425
 58    299   190 1.14   YES    84 0.625    5.0     9.2   False      619  -57.2     437
 59    332   278 1.35   YES   118 0.800   18.0    10.3   False      540  -22.7     430
 60    297    23 0.77   YES    91 0.825   12.0    10.1   False      386   31.7     395
 61    334    20 0.98   YES    57 0.925   12.0    11.1   False      434   37.0     392
 62    282   343 1.33   YES    85 0.825   10.0     9.3   False      369   82.1     366
 63    264     3 0.62   YES    68 0.850    8.0     9.4   False      394   76.4     369
 64    335   218 1.21   YES    37 0.950    9.0    11.0   False      379   69.4     373
 65    262    60 0.73   YES   105 0.675    6.0     9.0   False      559  -32.3     432
 66    323   116 1.22   YES    35 0.975    9.0    10.8   False      560   97.5     359
 67    288    57 1.30   YES   297 0.550   46.0     7.7   False      553  -87.3     444
 68    388   200 0.71   YES    23 0.925    5.0    12.0   False      467  -30.4     431
 69    317   180 1.33   YES    41 0.900    6.0    10.1   False      449   64.0     376
 70    337   291 0.71   YES   138 0.775   22.0    11.3   False      518  -41.6     434
 71    331   105 0.90   YES   103 0.850   16.0     9.7   False      496  -14.9     428
 72    261   349 0.79   YES    85 0.650    6.0     8.8   False      425   -1.6     425
 73    305   192 1.32   YES    46 0.875   15.0    10.3   False      460   75.6     370
 74    291   136 0.61   YES    74 0.650    5.0     9.1   False      565  -21.8     429
 75    288   146 0.84   YES    82 0.825    5.0     7.9   False      577  -31.3     431
 76    308    10 0.65   YES    64 0.925    5.0     9.4   False      495  -38.4     433
 77    271    64 1.12   YES   216 0.700   34.0     7.1   False      548  -65.9     439
 78    312    65 1.18   YES   410 0.550   41.0     8.7   False      642  -83.3     443
