# 1440x900  narrow=False  dt=1/60s  grid=360ang x 37pow = 13320 putts/round
# capture<520  MAX_SPEED=900  FRICTION=0.12  CUP_R=13  reachSafety=0.9 downhillCredit=None undul=4.0 tilt=1.0
rnd   dist  tilt  mag sunk?  hits bestP tolDeg minMiss hotPass maxReach  upAcc  aReach
  0    111     0 0.85   YES   722 0.150   72.0     3.7    True      483 -163.0     461
  1    354   285 1.33   YES   108 0.625   12.0     9.2   False      464  -49.2     435
  2    322   334 1.11   YES    16 1.000    9.0    11.5   False      473   70.0     372
  3    261    22 0.64   YES   335 0.375   34.0     8.2   False      477 -155.6     459
  4    257   318 0.67   YES    32 0.950    9.0    10.1   False      388  332.1     283
  5    261    39 0.62   YES   122 0.925   16.0     8.7   False      402  116.6     350
  6    312   332 0.77   YES   136 0.825   21.0     9.5   False      560  -78.2     442
  7    298   347 1.16   YES    16 1.000    9.0    11.5   False      361  164.8     332
  8    315    64 0.80   YES    19 0.975    6.0    10.8   False      502  116.9     350
  9    276   202 1.10   YES   242 0.525   28.0     7.7   False      464 -176.4     464
 10    283   158 0.68   YES   109 0.700   13.0     8.7   False      571 -117.3     451
 11    396   345 0.91   YES    22 0.975    4.0    11.6   False      558  -74.2     441
 12    348    56 0.60   YES    18 1.000   14.0    11.6   False      489   45.5     386
 13    302    20 1.16   YES    51 0.975   11.0    10.2   False      356  127.1     346
 14    386    99 0.77   YES    21 1.000   10.0    11.5   False      457  -19.8     429
 15    276   195 1.26   YES   149 0.700   30.0     8.3   False      517  -58.7     438
 16    330    68 0.68   YES    16 0.925    4.0    11.4   False      528   66.3     374
 17    257   178 0.72   YES   131 1.000   12.0     8.8   False      353  -79.6     442
 18    270   245 1.17   YES    79 0.950    6.0     8.5   False      439  -50.1     436
 19    299   214 0.76   YES   109 0.850   16.0    10.3   False      545   18.6     405
 20    347   354 0.64   YES    66 0.800    7.0    10.4   False      566   36.0     393
 21    265   217 1.31   YES   411 0.375   59.0     7.9   False      689 -136.1     455
 22    294   203 0.63   YES    25 1.000    4.0    10.8   False      562  109.6     353
 23    347   194 1.27   YES    47 0.950    4.0     9.7   False      490 -126.7     453
 24    361   133 1.09   YES   114 0.925   19.0    10.8   False      564  -33.4     432
 25    334   270 1.21   YES    21 0.900    4.0    10.9   False      466   51.8     383
 26    345    65 0.94   YES    28 0.975   12.0    11.2   False      488   31.8     395
 27    280   124 1.34   YES    42 0.975   11.0    10.7   False      452  228.7     311
 28    319   242 1.01   YES    52 0.850   14.0    10.1   False      457   91.0     362
 29    279   275 1.19   YES    78 0.775    9.0     8.6   False      474  -18.4     429
 30    305   264 1.31   YES    23 0.900    4.0    11.2   False      575  144.8     339
 31    262   199 1.19   YES    22 0.950    5.0    10.3   False      463  293.4     293
 32    290   191 0.99   YES    31 0.950   10.0    10.8   False      500  191.1     323
 33    343   164 0.79   YES    29 0.975    7.0    10.7   False      439   47.5     385
 34    306   159 1.04   YES    62 0.675    4.0     8.5   False      594 -116.4     450
 35    260   343 1.24   YES    63 0.825    7.0     9.0   False      471   77.8     368
 36    340   301 0.66   YES    13 1.000    5.0    11.3   False      499   41.8     389
 37    344   264 0.83   YES    28 0.975   10.0    11.4   False      453   29.8     397
 38    303    54 1.25   YES    32 0.850    5.0    10.3   False      533   71.3     372
 39    259   291 0.97   YES   170 0.350    7.0     8.7   False      549  -77.3     442
 40    271   216 0.65   YES    36 0.825    4.0     9.8   False      516   73.9     370
 41    308   160 0.98   YES    33 0.875    5.0    10.3   False      557   38.6     391
 42    300   169 1.21   YES    26 0.850    3.0     9.7   False      464   18.0     406
 43    269   179 1.21   YES    90 0.900   27.0     9.8   False      410  165.4     331
 44    377   209 0.68    no     0     -    0.0    14.5   False      443   -1.8     425
 45    293    71 1.27   YES    44 0.850    7.0     9.7   False      465   79.9     367
 46    259   179 1.18   YES   109 0.625    8.0     8.8   False      482  -11.9     427
 47    328   259 0.74   YES    35 0.950   14.0    11.7   False      471   86.5     364
 48    308   100 0.84   YES    52 0.825    9.0    10.4   False      494  136.4     342
 49    322    15 1.16   YES    20 0.950    6.0    11.3   False      482   52.1     382
 50    397   188 0.80   YES    73 0.925   18.0    10.6   False      571  -84.7     443
 51    340   177 1.10   YES    25 0.875    4.0    10.8   False      654  -32.2     432
 52    282    97 0.63   YES    73 0.875    9.0     9.3   False      401   61.4     377
 53    386    20 0.81   YES    40 1.000   11.0    11.3   False      478  -32.6     432
 54    364   195 0.63   YES    12 1.000    7.0    11.9   False      469    2.9     420
 55    320    59 1.15   YES    48 0.900   15.0    11.4   False      529  104.5     356
 56    282   338 0.78   YES    54 0.825    6.0     9.2   False      426   32.4     395
 57    373    66 1.33   YES     5 0.975    2.0    12.6   False      403    7.9     415
 58    299   190 1.14   YES    35 0.850    5.0     9.6   False      523   19.0     405
 59    332   278 1.35   YES    67 0.800    5.0     9.9   False      564  -25.0     430
 60    297    23 0.77   YES   124 0.800   19.0     8.5   False      401  -20.0     429
 61    334    20 0.98   YES    69 0.925   15.0    10.6   False      382   22.9     402
 62    282   343 1.33   YES   161 0.800   20.0     9.6   False      472   67.1     374
 63    264     3 0.62   YES    66 0.925   12.0     9.9   False      458  168.5     330
 64    332   218 1.21   YES    33 0.900    7.0    11.4   False      468   71.3     372
 65    262    60 0.73   YES    60 0.850    5.0     8.7   False      550   34.1     394
 66    271   116 1.22   YES    23 0.950    5.0    10.3   False      404  264.1     301
 67    288    57 1.30   YES   316 0.550   42.0     7.4   False      536 -151.2     458
 68    362   200 0.71   YES    11 0.975    4.0    12.1   False      456   22.4     402
 69    317   180 1.33   YES    18 1.000    3.0     9.8   False      558   11.6     411
 70    337   291 0.71   YES   163 0.800   17.0     9.9   False      497  -76.5     441
 71    331   105 0.90   YES   238 0.875   24.0     9.1   False      580  -89.6     444
 72    261   349 0.79   YES   117 0.675    7.0     7.5   False      422  -57.1     437
 73    305   192 1.32   YES    24 0.925    7.0    10.4   False      474  140.7     341
 74    291   136 0.61   YES    40 0.850    5.0     9.4   False      570   41.4     389
 75    288   146 0.84   YES    40 0.925    4.0     8.4   False      614  -13.3     427
 76    308    10 0.65   YES    47 0.850    4.0     9.5   False      481  -82.0     443
