# 1920x1080  narrow=False  dt=1/60s  grid=360ang x 37pow = 13320 putts/round
# capture<520  MAX_SPEED=900  FRICTION=0.12  CUP_R=13  reachSafety=0.9
rnd   dist  tilt  mag sunk?  hits bestP tolDeg minMiss hotPass maxReach  upAcc  aReach
 79    401   243 0.89   YES     4 1.000    3.0    12.7   False      470   -6.5     446
 80    340   353 0.97   YES    60 0.875   13.0    10.7   False      512   15.8     408
 81    348   135 0.77   YES    24 0.900    5.0    11.1   False      447   31.0     396
 82    354   211 0.89   YES    19 0.925    4.0    11.0   False      415   27.6     398
 83    468   220 0.66    no     0     -    0.0    39.7   False      475  -30.5     525
 84    346    90 0.62   YES    78 0.725    8.0    10.4   False      425   -6.1     445
 85    317    66 0.96   YES    77 0.875   13.0     9.9   False      630   53.5     382
 86    345    38 1.15   YES   260 0.600   20.0     9.4   False      671  -78.0     682
 87    527   298 0.79    no     0     -    0.0    19.6   False      625  -80.0     689
 88    464    97 1.35    no     0     -    0.0    25.6   False      617  -51.2     593
 89    357    39 0.81   YES    32 0.975   10.0    11.3   False      393   29.6     397
 90    377    54 0.64   YES    18 0.950    5.0    11.3   False      422    4.2     419
 91    369   358 0.67   YES    15 0.950    4.0    11.3   False      503   12.9     410
 92    309   177 1.14   YES    57 0.800    8.0    11.0   False      415   15.6     408
 93    377    20 1.20   YES    30 0.875    7.0    11.5   False      558    4.2     419
 94    311   240 1.05   YES    27 0.875    4.0    10.8   False      448   62.0     377
 95    334   317 1.06   YES    19 0.925    4.0    10.8   False      392   66.7     374
 96    355    72 1.29   YES    75 0.925   18.0    11.3   False      524   -5.3     442
 97    349   174 1.18   YES    44 0.975   10.0    10.5   False      547   19.8     404
 98    390    81 0.82   YES    12 0.950    4.0    12.4   False      462   -3.8     437
 99    443    38 1.21   YES     4 1.000    3.0    12.7   False      589  -54.6     605
100    340   221 1.13   YES    18 0.925    4.0    10.7   False      396   57.2     379
101    346   161 1.09   YES    22 0.900    5.0    11.4   False      402   46.1     386
102    421   253 1.26   YES   152 0.925   33.0    11.4   False      556  -63.1     633
103    365   253 0.66   YES    33 0.850    5.0    10.8   False      600  -41.4     561
104    348   325 0.85   YES    16 0.925    4.0    11.7   False      453   45.0     387
105    339   184 1.13   YES    24 0.975    6.0    11.7   False      439   61.7     377
106    433   316 0.85   YES    22 0.950    6.0    12.5   False      572  -46.3     577
107    388   137 0.73   YES   112 0.550    7.0    10.9   False      507  -63.1     633
108    323   134 0.87   YES    33 0.925    5.0    10.1   False      477   27.8     398
109    388   337 0.84   YES    20 0.950    5.0    11.9   False      525   -2.0     431
110    406    85 0.62   YES    54 1.000   23.0    11.9   False      459  -23.6     502
111    444   280 1.05   YES     3 1.000    3.0    12.6   False      639  -45.3     574
112    360   206 1.31   YES   164 0.525    6.0    10.1   False      662  -97.0     745
113    323    84 0.90   YES    47 0.925    5.0    10.2   False      569   -4.1     438
114    483   331 0.96   YES    34 0.850    5.0    12.6   False      629  -57.3     614
115    412    24 0.92   YES    41 0.950   11.0    11.9   False      568  -12.3     465
116    579   350 1.14   YES    75 0.950   15.0    12.4   False      674  -66.3     643
117    353    20 1.22   YES    31 0.875    6.0    11.5   False      483    9.3     413
118    428   283 0.71   YES    55 0.950   17.0    12.3   False      545  -18.1     484
119    416   254 1.00   YES    39 0.875    9.0    12.1   False      602  -25.8     510
120    390    55 1.01   YES   220 0.625   28.0    11.5   False      659  -68.0     649
121    350     2 1.10   YES    37 0.975   10.0    11.4   False      431   41.8     389
122    332    53 1.15   YES    73 0.875   13.0    10.3   False      538    6.0     417
123    383   318 1.20   YES    36 0.975   12.0    11.8   False      627   -6.4     446
124    317   265 1.11   YES    32 0.875    5.0    11.2   False      524   56.1     380
125    466    71 1.28   YES    28 0.950    3.0    12.2   False      581  -63.6     634
126    374   273 0.90   YES    29 1.000   11.0    12.0   False      472   -9.6     456
127    482   214 0.90   YES    41 0.875    4.0    12.3   False      553  -77.5     680
128    327   201 1.04   YES    48 0.875    7.0     9.8   False      422   35.3     393
129    325   249 1.23   YES    96 0.725   21.0     9.9   False      574   -6.9     447
130    350   103 0.95   YES    37 0.850    5.0    10.6   False      594  -24.3     505
131    339   350 1.11   YES   147 0.400   10.0    10.7   False      673  -61.5     628
132    354   302 1.13   YES    41 0.950   13.0    11.6   False      435   31.5     396
133    376   180 1.09   YES    48 0.750    4.0    11.0   False      643  -54.2     603
134    346   351 0.82   YES    43 0.925    9.0    11.1   False      455   37.9     391
135    349    70 0.65   YES    24 0.975    8.0    11.8   False      554   42.7     388
136    472    23 0.65   YES     6 0.975    2.0    12.7   False      609  -40.1     557
137    398   279 0.81   YES    14 1.000    6.0    12.4   False      566  -18.2     485
138    367   343 0.72   YES    17 0.950    4.0    12.0   False      442   14.2     409
139    372   299 0.62   YES    24 0.900    5.0    11.7   False      543    9.4     413
140    356   302 1.20   YES    65 0.675    4.0    10.2   False      736  -59.7     622
141    317    56 0.98   YES    59 0.925   10.0    11.2   False      408   66.3     374
142    371   227 0.88   YES    34 1.000   13.0    12.0   False      415   10.7     412
143    343   186 1.34   YES    32 0.900    7.0    11.1   False      493   27.3     399
144    427   101 0.99   YES    10 0.975    4.0    12.5   False      515  -32.8     533
145    365   162 0.76   YES    33 0.925   10.0    11.6   False      504   14.7     409
146    320   285 0.81   YES   108 0.650    8.0     8.9   False      561  -25.4     508
147    485   283 0.69    no     0     -    0.0    28.6   False      635  -34.6     539
148    473   186 0.80   YES     4 1.000    3.0    12.7   False      562  -41.7     562
149    410   290 1.26   YES    59 0.750    6.0    11.2   False      645  -77.2     679
150    311    57 1.05   YES    77 0.825    9.0    10.2   False      461   19.8     404
151    344   360 0.85   YES    18 0.925    4.0    11.4   False      450   53.0     382
152    343   114 1.03   YES    48 1.000   13.0    11.1   False      473   53.8     381
153    331   355 1.14   YES    61 0.800    9.0    10.7   False      562  -19.9     490
154    323   169 1.24   YES    21 0.925    5.0    11.6   False      464   98.6     358
155    357   274 0.80   YES    25 0.950    8.0    11.1   False      453   29.5     397
156    429   343 1.30   YES    14 0.925    3.0    12.0   False      564  -86.1     709
157    376    20 0.80   YES    21 0.975    7.0    11.8   False      486    5.0     418
158    372   193 0.70   YES    19 0.975    6.0    11.9   False      474    7.9     415
159    346   184 0.99   YES    23 0.900    4.0    11.0   False      455   27.4     398
160    316   172 1.05   YES   440 0.500   58.0     8.9   False      606  -48.6     585
161    351   338 0.77   YES    38 0.950    9.0    10.9   False      385   39.1     391
