# 1920x1080  narrow=False  dt=1/60s  grid=360ang x 37pow = 13320 putts/round
# capture<520  MAX_SPEED=900  FRICTION=0.12  CUP_R=13  reachSafety=None
rnd   dist  tilt  mag sunk?  hits bestP tolDeg minMiss hotPass maxReach  upAcc  aReach
 82    499   211 0.89    no     0     -    0.0   119.3   False      424   34.8     393
 83    569   220 0.66    no     0     -    0.0   139.8   False      437  -42.4     565
 84    346    90 0.62   YES    78 0.725    8.0    10.4   False      425   -6.1     445
 85    317    66 0.96   YES    77 0.875   13.0     9.9   False      630   53.5     382
 86    345    38 1.15   YES   260 0.600   20.0     9.4   False      671  -78.0     682
 87    527   298 0.79    no     0     -    0.0    19.6   False      625  -80.0     689
 88    464    97 1.35    no     0     -    0.0    25.6   False      617  -51.2     593
 89    440    39 0.81    no     0     -    0.0    51.9   False      402   27.3     399
 90    416    54 0.64   YES     2 1.000    2.0    12.8   False      424    2.3     421
 91    452   358 0.67    no     0     -    0.0    55.8   False      519    7.8     415
 92    309   177 1.14   YES    57 0.800    8.0    11.0   False      415   15.6     408
 93    391    20 1.20   YES    24 0.900    6.0    11.9   False      545    2.3     421
 94    311   240 1.05   YES    27 0.875    4.0    10.8   False      448   62.0     377
 95    419   317 1.06    no     0     -    0.0    53.3   False      392   73.0     371
 96    355    72 1.29   YES    75 0.925   18.0    11.3   False      524   -5.3     442
 97    509   174 1.18    no     0     -    0.0   119.0   False      459   42.8     388
 98    567    81 0.82    no     0     -    0.0   114.0   False      538   -9.5     456
 99    443    38 1.21   YES     4 1.000    3.0    12.7   False      589  -54.6     605
100    374   221 1.13   YES     5 1.000    3.0    12.5   False      391   59.7     378
101    375   161 1.09   YES    11 1.000    5.0    12.1   False      400   48.4     385
102    421   253 1.26   YES   152 0.925   33.0    11.4   False      556  -63.1     633
103    365   253 0.66   YES    33 0.850    5.0    10.8   False      600  -41.4     561
104    434   325 0.85    no     0     -    0.0    53.2   False      440   44.8     387
105    392   184 1.13    no     0     -    0.0    22.4   False      435   57.3     379
106    433   316 0.85   YES    22 0.950    6.0    12.5   False      572  -46.3     577
107    388   137 0.73   YES   112 0.550    7.0    10.9   False      507  -63.1     633
108    323   134 0.87   YES    33 0.925    5.0    10.1   False      477   27.8     398
109    484   337 0.84    no     0     -    0.0    57.5   False      532   -6.2     445
110    406    85 0.62   YES    54 1.000   23.0    11.9   False      459  -23.6     502
111    444   280 1.05   YES     3 1.000    3.0    12.6   False      639  -45.3     574
112    360   206 1.31   YES   164 0.525    6.0    10.1   False      662  -97.0     745
113    323    84 0.90   YES    47 0.925    5.0    10.2   False      569   -4.1     438
114    483   331 0.96   YES    34 0.850    5.0    12.6   False      629  -57.3     614
115    434    24 0.92   YES    20 1.000   11.0    12.4   False      584  -10.1     458
116    596   350 1.14   YES    55 1.000   15.0    12.3   False      677  -67.5     647
117    353    20 1.22   YES    31 0.875    6.0    11.5   False      483    9.3     413
118    477   283 0.71    no     0     -    0.0    15.1   False      542  -15.6     476
