# 1440x900  narrow=False  dt=1/60s  grid=360ang x 37pow = 13320 putts/round
# capture<520  MAX_SPEED=900  FRICTION=0.12  CUP_R=13  reachSafety=None
rnd   dist  tilt  mag sunk?  hits bestP tolDeg minMiss hotPass maxReach  upAcc  aReach
 80    282   353 0.97   YES   100 0.750   17.0     8.4   False      473   18.7     405
 81    288   135 0.77   YES   111 0.750   16.0     9.4   False      382   36.5     392
 82    387   211 0.89   YES     3 1.000    3.0    12.6   False      422   39.6     390
 83    427   220 0.66   YES    11 0.975    6.0    12.3   False      498  -42.6     565
 84    271    90 0.62   YES   172 0.525   14.0     9.1   False      404   -7.3     449
 85    389    66 0.96    no     0     -    0.0    31.6   False      405   83.7     365
 86    262    38 1.15   YES   434 0.275   32.0     8.8   False      723  -95.3     739
 87    410   298 0.79   YES   247 0.325   17.0    11.2   False      579 -104.1     768
 88    352    97 1.35   YES   118 0.775   28.0    10.7   False      561  -68.1     649
 89    359    39 0.81   YES    18 1.000    8.0    12.1   False      387   38.5     391
 90    313    54 0.64   YES    47 0.800    6.0    10.1   False      411    6.9     416
 91    373   358 0.67   YES    11 1.000    4.0    11.7   False      459   14.5     409
 92    304   177 1.14   YES   251 0.750   27.0     9.7   False      453  -11.1     461
 93    315    20 1.20   YES    63 0.775    8.0     9.3   False      526   10.0     413
 94    306   240 1.05   YES    33 0.900    5.0    10.4   False      428   59.8     378
 95    312   317 1.06   YES    26 0.900    5.0    10.8   False      368   83.4     366
 96    261    72 1.29   YES   131 0.700   16.0     8.9   False      450   -6.4     446
 97    389   174 1.18   YES    13 1.000    7.0    12.1   False      456   40.8     389
 98    434    81 0.82   YES     1 1.000    1.0    12.9   False      490  -12.8     467
 99    330    38 1.21   YES    60 0.750    6.0    10.1   False      550  -64.7     638
100    280   221 1.13   YES    50 0.975    6.0     8.5   False      389   69.1     373
101    301   161 1.09   YES    56 0.825    5.0     9.4   False      423   55.1     381
102    333   253 1.26   YES   250 0.700   39.0     9.2   False      479  -78.6     684
103    301   253 0.66   YES    75 0.775    6.0     9.0   False      578  -50.7     592
104    333   325 0.85   YES    27 0.925    6.0    10.8   False      462   52.5     382
105    292   184 1.13   YES    61 0.950    8.0    10.0   False      405   68.5     373
106    344   316 0.85   YES   137 0.650   19.0     9.9   False      634  -56.6     611
107    293   137 0.73   YES   318 0.225   24.0     8.6   False      469  -76.3     676
108    383   134 0.87   YES     8 0.975    4.0    12.3   False      440   34.5     394
109    396   337 0.84   YES    19 0.950    5.0    11.9   False      506   -5.1     441
110    305    85 0.62   YES   193 0.750   34.0     9.6   False      507  -31.5     528
111    362   280 1.05   YES    37 0.850    4.0    10.8   False      543  -50.7     592
112    279   206 1.31   YES   243 0.100    9.0     7.6   False      708 -118.0     814
113    264    84 0.90   YES    69 0.700    5.0     8.5   False      452   43.3     388
114    371   331 0.96   YES   101 0.625    8.0    10.3   False      568  -72.3     663
115    353    24 0.92   YES   105 0.850   15.0    11.1   False      493  -13.9     471
116    465   350 1.14   YES   231 0.800   32.0    12.1   False      701  -73.1     666
117    287    20 1.22   YES   100 0.725   11.0     9.7   False      436    4.3     419
118    354   283 0.71   YES    79 0.800   18.0    10.5   False      557  -20.3     492
119    316   254 1.00   YES   117 0.700   21.0     9.6   False      523  -33.4     535
120    313    55 1.01   YES   271 0.450   28.0     9.0   False      694  -81.0     692
121    374     2 1.10   YES    14 1.000    9.0    12.3   False      390   33.3     394
122    342    53 1.15   YES    59 0.900   12.0    10.9   False      513   19.0     405
123    368   318 1.20   YES    43 0.950   11.0    11.2   False      548    2.5     421
124    274   265 1.11   YES    49 0.925    6.0     8.8   False      422   70.5     372
125    358    71 1.28   YES    68 0.775    4.0    10.8   False      626  -76.2     676
126    280   273 0.90   YES   130 0.775   14.0     8.9   False      577  -10.1     458
127    375   214 0.90   YES    92 0.625    5.0    10.4   False      611  -95.8     741
128    358   201 1.04   YES   155 0.225    7.0    10.4   False      577  -92.8     731
129    259   249 1.23   YES   169 0.600   31.0     7.8   False      488  -12.2     465
130    276   103 0.95   YES    89 0.675    8.0     8.6   False      564  -26.0     510
131    364   350 1.11   YES    91 0.750   24.0    11.1   False      570  -37.0     547
132    316   302 1.13   YES    59 0.875   14.0    10.3   False      426   43.6     388
133    285   180 1.09   YES   191 0.350   18.0     9.6   False      641  -62.2     630
134    374   351 0.82   YES    24 1.000   12.0    12.3   False      408   55.2     381
135    331    70 0.65   YES    34 0.925    8.0    10.8   False      486   51.4     383
136    439    23 0.65   YES    13 0.975    3.0    12.2   False      607  -34.9     540
137    299   279 0.81   YES    80 0.775    9.0     9.4   False      606  -25.6     509
138    401   343 0.72   YES     5 1.000    3.0    12.4   False      450   15.3     408
139    352   299 0.62   YES    54 0.850   20.0    11.5   False      558    8.0     415
140    280   302 1.20   YES   112 0.750    6.0     8.3   False      715  -67.2     646
141    391    56 0.98   YES    15 1.000   10.0    12.1   False      564   13.7     409
142    388   227 0.88   YES    11 1.000    8.0    12.1   False      399   15.8     408
143    282   186 1.34   YES   116 0.775   11.0     8.7   False      457   29.0     397
144    323   101 0.99   YES    72 0.700    6.0     9.1   False      537  -51.6     595
145    389   162 0.76   YES    25 1.000   15.0    12.4   False      430   19.9     404
146    264   285 0.81   YES   164 0.475   10.0     8.2   False      574  -30.4     525
147    437   283 0.69   YES     8 1.000    3.0    12.5   False      608  -47.8     582
148    353   186 0.80   YES    88 0.750    7.0    10.0   False      637  -41.5     561
149    338   290 1.26   YES   138 0.525   10.0     9.6   False      589  -94.8     737
150    301    57 1.05   YES   105 0.800   13.0     9.8   False      464    7.5     415
151    338   360 0.85   YES    24 0.925    6.0    11.2   False      380   60.2     378
152    356   114 1.03   YES    27 1.000   11.0    11.8   False      426   68.9     373
153    270   355 1.14   YES   120 0.650   10.0     8.4   False      566  -20.6     492
154    262   169 1.24   YES   121 0.675   21.0     8.5   False      596   -6.1     445
155    388   274 0.80   YES     5 1.000    5.0    12.7   False      403   31.2     396
156    317   343 1.30   YES   121 0.775    5.0     9.2   False      635 -109.3     785
157    453    20 0.80    no     0     -    0.0    53.7   False      538   -9.6     456
158    302   193 0.70   YES    61 0.825    9.0     9.6   False      428    5.9     417
159    333   184 0.99   YES    40 0.875    6.0    11.0   False      483   49.4     384
160    275   172 1.05   YES   603 0.425   72.0     7.7   False      657  -69.3     653
161    342   338 0.77   YES    46 0.950   10.0    10.7   False      390   38.5     391
162    274   349 1.26   YES    85 0.875    6.0     8.1   False      609  -48.7     585
163    307    22 1.19   YES    93 0.625    5.0     9.7   False      577  -67.4     647
164    333    55 0.93   YES    19 0.925    4.0    11.3   False      401   65.6     375
165    369    65 1.04   YES   116 0.875   24.0    11.6   False      514   -3.3     435
166    325   141 1.19   YES    39 0.950   11.0    11.0   False      383   64.2     376
167    260   119 0.68   YES   115 0.750    9.0     8.4   False      441    5.5     417
168    330   205 0.62   YES    34 0.875    7.0    10.4   False      438   52.5     382
169    324    37 1.02   YES    59 0.850    9.0    10.4   False      400   26.9     399
170    315    75 1.03   YES    68 0.675    6.0     8.9   False      646  -28.4     518
171    321    40 0.93   YES    66 0.850   18.0     9.8   False      509   37.0     392
172    296   359 0.85   YES    63 0.825   12.0     9.9   False      418   50.0     384
173    269   134 0.84   YES   100 0.750    9.0     9.0   False      405   48.1     385
174    327   235 1.24   YES   259 0.650   36.0    10.2   False      648  -59.9     622
175    283   120 0.69   YES   212 0.675   30.0     8.5   False      419   -5.6     443
176    264   191 0.66   YES   142 0.525   13.0     8.3   False      598  -53.0     600
177    321   313 0.96   YES    40 0.900    8.0    11.0   False      386   43.4     388
178    378    95 0.95   YES     6 1.000    6.0    12.9   False      504   64.5     375
