# 1440x900  narrow=False  dt=1/60s  grid=360ang x 37pow = 13320 putts/round
# capture<520  MAX_SPEED=900  FRICTION=0.12  CUP_R=13  reachSafety=0.9 downhillCredit=None undul=2.0 tilt=1.0
rnd   dist  tilt  mag sunk?  hits bestP tolDeg minMiss hotPass maxReach  upAcc  aReach
  0    111     0 0.85   YES   653 0.225   50.0     3.9    True      478  -75.6     441
  1    354   285 1.33   YES   112 0.650   25.0    10.0   False      475  -46.8     435
  2    322   334 1.11   YES    38 0.900   10.0    10.3   False      472   19.8     404
  3    261    22 0.64   YES   282 0.400   28.0     8.4   False      473  -92.8     445
  4    296   318 0.67   YES    33 0.925    9.0    10.8   False      419  172.8     329
  5    261    39 0.62   YES   126 0.900   15.0     9.7   False      424   80.9     367
  6    312   332 0.77   YES   113 0.750   11.0     9.3   False      563  -64.2     439
  7    316   347 1.16   YES    21 1.000    9.0    11.6   False      382  115.7     351
  8    326    64 0.80   YES    24 0.975    8.0    11.1   False      456   78.6     368
  9    276   202 1.10   YES   300 0.475   29.0     8.4   False      603 -128.9     453
 10    283   158 0.68   YES   110 0.650   15.0     7.6   False      571  -83.9     443
 11    390   345 0.91   YES    30 0.925   11.0    11.4   False      553  -43.9     434
 12    351    56 0.60   YES    34 0.950   16.0    11.7   False      455   40.6     389
 13    318    20 1.16   YES    41 0.975   10.0    11.7   False      348  102.8     356
 14    389    99 0.77   YES    45 1.000   12.0    11.4   False      461  -33.2     432
 15    276   195 1.26   YES   168 0.650   30.0     9.2   False      624  -57.7     437
 16    343    68 0.68   YES    18 0.925    5.0    11.1   False      486   49.3     384
 17    257   178 0.72   YES   151 0.950   13.0     7.2   False      375  -16.9     428
 18    270   245 1.17   YES    90 0.800    6.0     8.2   False      469  -33.6     432
 19    299   214 0.76   YES   141 0.800   19.0     9.8   False      549   -9.3     427
 20    347   354 0.64   YES    89 0.825   12.0    10.8   False      482   33.2     394
 21    265   217 1.31   YES   270 0.375   17.0     8.7   False      689 -115.1     450
 22    294   203 0.63   YES    42 0.825    5.0     9.6   False      570   67.3     374
 23    347   194 1.27   YES    66 0.900    5.0     9.5   False      499  -95.7     446
 24    361   133 1.09   YES    86 0.925   17.0    10.6   False      516   -0.8     425
 25    337   270 1.21   YES    24 0.900    4.0    11.6   False      440   57.2     379
 26    345    65 0.94   YES    43 0.900   12.0    11.1   False      558    5.7     417
 27    303   124 1.34   YES    31 1.000    9.0    10.5   False      436  152.3     336
 28    346   242 1.01   YES    73 0.850   16.0    10.7   False      472   49.3     384
 29    279   275 1.19   YES    68 0.825    7.0     8.8   False      472   14.6     409
 30    318   264 1.31   YES    22 0.900    4.0    11.1   False      568  111.1     353
 31    291   199 1.19   YES    22 0.950    5.0    10.6   False      456  188.6     323
 32    311   191 0.99   YES    27 0.950    8.0    11.0   False      405  129.7     345
 33    343   164 0.79   YES    28 0.975    7.0    11.2   False      411   47.2     385
 34    306   159 1.04   YES    78 0.925    5.0     8.6   False      597  -83.6     443
 35    260   343 1.24   YES    75 0.750    7.0     7.7   False      481   50.8     383
 36    355   301 0.66   YES    16 0.975    5.0    11.1   False      484   26.6     399
 37    349   264 0.83   YES    28 0.925    9.0    11.3   False      495   31.9     395
 38    303    54 1.25   YES    51 0.775    6.0     9.7   False      537   12.9     410
 39    259   291 0.97   YES   295 0.250   30.0     8.4   False      547  -74.1     441
 40    271   216 0.65   YES    52 0.800    5.0     9.1   False      446   56.8     380
 41    308   160 0.98   YES    49 0.800    5.0    10.8   False      612  -10.9     427
 42    300   169 1.21   YES    35 0.850    4.0     9.3   False      451   48.4     385
 43    269   179 1.21   YES   107 0.825   21.0     9.0   False      403   93.7     361
 44    358   209 0.68   YES    22 1.000   10.0    11.6   False      430   29.0     397
 45    293    71 1.27   YES    40 0.825    5.0    10.0   False      473   83.4     366
 46    259   179 1.18   YES   144 0.525    9.0     8.1   False      608  -50.0     436
 47    352   259 0.74   YES    29 0.925   11.0    11.3   False      462   36.8     392
 48    350   100 0.84   YES    46 0.825    7.0    11.1   False      531   41.5     389
 49    322    15 1.16   YES    29 0.975    8.0    11.1   False      481   57.7     379
 50    395   188 0.80   YES    86 0.825   18.0    10.5   False      722  -70.8     440
 51    340   177 1.10   YES    40 0.825    4.0    10.7   False      654  -46.7     435
 52    282    97 0.63   YES    74 0.800    7.0     9.6   False      405   34.5     394
 53    368    20 0.81   YES    28 1.000    9.0    11.1   False      460    4.9     418
 54    361   195 0.63   YES    20 1.000    8.0    11.3   False      465   14.8     408
 55    321    59 1.15   YES    38 0.875    8.0    10.8   False      431   88.0     363
 56    282   338 0.78   YES    70 0.800    8.0     9.6   False      426   23.3     402
 57    375    66 1.33   YES    10 0.975    4.0    11.5   False      433    2.1     421
 58    299   190 1.14   YES    63 0.725    5.0     8.9   False      555  -31.8     432
 59    332   278 1.35   YES   109 0.800   13.0    10.3   False      553  -23.5     430
 60    297    23 0.77   YES   113 0.800   17.0     9.0   False      397   14.5     409
 61    334    20 0.98   YES    58 0.925   13.0    10.3   False      375   32.3     395
 62    282   343 1.33   YES   107 0.800   13.0     9.1   False      386   77.1     369
 63    264     3 0.62   YES    68 0.875   10.0     9.1   False      444  107.1     355
 64    334   218 1.21   YES    33 0.925    8.0    10.5   False      375   70.5     372
 65    262    60 0.73   YES    83 0.700    5.0     8.1   False      555  -10.2     427
 66    302   116 1.22   YES    27 1.000    7.0    11.0   False      553  153.2     336
 67    288    57 1.30   YES   326 0.575   51.0     8.4   False      542 -108.6     449
 68    385   200 0.71   YES    13 1.000    5.0    12.1   False      465  -13.7     428
 69    317   180 1.33   YES    32 0.975    5.0    10.8   False      452   46.5     386
 70    337   291 0.71   YES   141 0.800   18.0    10.1   False      502  -53.3     436
 71    331   105 0.90   YES   128 0.850   18.0     9.6   False      502  -39.8     433
 72    261   349 0.79   YES   106 0.625    7.0     9.1   False      424  -20.1     429
 73    305   192 1.32   YES    36 0.875   11.0     9.8   False      452   97.3     359
 74    291   136 0.61   YES    61 0.725    5.0     8.9   False      569   -0.7     425
 75    288   146 0.84   YES    58 0.925    5.0     9.0   False      587  -25.3     430
 76    308    10 0.65   YES    56 0.800    4.0     9.5   False      480  -53.0     436
 77    271    64 1.12   YES   149 0.725   16.0     8.8   False      495  -72.9     441
 78    312    65 1.18   YES   459 0.525   40.0     8.8   False      642 -110.2     449
 79    327   243 0.89   YES    25 0.975    4.0    10.0   False      405   -6.8     426
 80    282   353 0.97   YES   102 0.775   19.0     9.2   False      480   30.2     397
 81    288   135 0.77   YES    92 0.725    8.0     9.4   False      413   34.9     393
